Start Time,End Time,Dialogue,Speaker,TextBlob_Score,VADER_Score,Google_Score
1900-01-01 00:07:49.770,"00:07:51,505",AND GRABS THE REMOTE AND TURNS OFF THE TV ,Laura,-0.1,0.0,-0.4000000059604645
1900-01-01 00:07:51.605,"00:07:53,641",AND HE TURNS TO ME AND HE HAS TEARS IN HIS EYES ,Laura,0.0,-0.2263,0.20000000298023224
1900-01-01 00:07:53.741,"00:07:56,443","AND HE SAYS: ""THAT'S IT. I CAN'T TAKE IT ANYMORE."" ",Laura,0.0,0.0,-0.5
1900-01-01 00:07:56.544,"00:07:59,947",WOW! SO OUT OF LINE. ,Laura,0.125,0.6239,0.10000000149011612
1900-01-01 00:08:00.047,"00:08:02,816",PROMISED HE'D LAY OFF THE SUBJECT FOR AWHILE ,Laura,-0.16666666666666666,0.3612,-0.30000001192092896
1900-01-01 00:08:02.916,"00:08:05,519",AND ALL OF A SUDDEN HE'S ON THIS CRYING BULLSHIT. ,Laura,-0.1,-0.8139,-0.10000000149011612
1900-01-01 00:08:05.619,"00:08:07,454",HE ACTUALLY BURST OUT CRYING. ,Laura,-0.1,-0.4767,0.4000000059604645
1900-01-01 00:08:07.555,"00:08:09,122",I'VE NEVER SEEN HIM LIKE THAT BEFORE. ,Laura,0.0,-0.2755,-0.30000001192092896
1900-01-01 00:08:09.222,"00:08:12,325","AND TO TELL YOU THE TRUTH, IT REALLY SCARED ME. ",Laura,0.2,-0.2247,0.0
1900-01-01 00:08:15.462,"00:08:18,498",BECAUSE HE'S TRYING TO MANIPULATE ME WITH THESE-- THESE CHEAP CHICK TRICKS. ,Laura,0.4,-0.128,-0.5
1900-01-01 00:08:18.599,"00:08:20,400",MAYBE HE THOUGHT ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:08:20.500,"00:08:23,604","HE WOULD BREAK MY HEART OR SOMETHING, ",Laura,0.0,0.6369,-0.699999988079071
1900-01-01 00:08:23.704,"00:08:25,939",APPEAL TO MY-- ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:08:26.039,"00:08:28,208","SHIT, YOU KNOW, FORGET IT. I DON'T KNOW. ",Laura,-0.2,-0.6705,0.0
1900-01-01 00:08:28.308,"00:08:30,678",I THREW A TANTRUM ,Laura,0.0,-0.4215,0.10000000149011612
1900-01-01 00:08:30.778,"00:08:32,445",LIKE A THREE-YEAR-OLD. ,Laura,0.0,0.3612,0.0
1900-01-01 00:08:32.546,"00:08:35,716","SCREAMED, CRIED, ",Laura,0.0,-0.5994,0.10000000149011612
1900-01-01 00:08:35.816,"00:08:38,085",TOLD HIM TO FUCK OFF. ,Laura,-0.4,-0.5423,-0.800000011920929
1900-01-01 00:08:39.419,"00:08:40,888",I TOLD HIM HE WAS A LITTLE PIECE OF SHIT ,Laura,-0.19375,-0.5165,-0.699999988079071
1900-01-01 00:08:40.988,"00:08:42,890",FOR DOING THIS TO ME WHEN HE KNOWS ,Laura,0.0,0.0,0.20000000298023224
1900-01-01 00:08:42.990,"00:08:45,959",THAT I'M WORKING DOUBLE SHIFTS AT THE HOSPITAL THIS WEEK. ,Laura,0.0,0.0,-0.6000000238418579
1900-01-01 00:08:47.060,"00:08:48,762","I SLAMMED THE DOOR, ",Laura,0.0,0.0,0.0
1900-01-01 00:08:48.862,"00:08:51,865",SMASHED HIS LAPTOP ON THE FLOOR. I KILLED IT. ,Laura,-0.2,-0.6705,0.30000001192092896
1900-01-01 00:08:51.965,"00:08:54,501",I RAN OUT AND I CALLED ALONA. ,Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:08:54.602,"00:08:57,237",SHE DRESSED ME IN THIS OUTFIT. ,Laura,0.0,0.0,0.0
1900-01-01 00:09:00.140,"00:09:02,075",IT'S-- IT'S NOT MINE. ,Laura,0.0,0.0,-0.6000000238418579
1900-01-01 00:09:03.644,"00:09:05,746",WE WENT OUT FOR A DRINK ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:09:05.846,"00:09:08,081",AT A CLUB THAT SHE LIKES ON CHESTER ST. ,Laura,0.0,0.4215,0.0
1900-01-01 00:09:08.181,"00:09:12,052","OH, SHE TRIED TO CALM ME DOWN, PUT THINGS INTO PERSPECTIVE. ",Laura,0.07222222222222224,0.3182,-0.800000011920929
1900-01-01 00:09:13.153,"00:09:16,256",AND SHE SAID-- ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:09:16.356,"00:09:19,126",SHE SAID I WAS LUCKY; ,Laura,0.3333333333333333,0.4215,-0.6000000238418579
1900-01-01 00:09:21.161,"00:09:25,065",THAT SHE WISHED SOMEBODY LOVED HER ENOUGH TO GIVE HER AN ULTIMATUM. ,Laura,0.35,0.5994,0.4000000059604645
1900-01-01 00:09:29.336,"00:09:30,638",AND THEN WE DRANK. ,Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:09:30.738,"00:09:34,608","WELL, I DRANK. ",Laura,0.0,0.2732,0.5
1900-01-01 00:09:34.708,"00:09:38,111","AND, UH, THERE WAS THIS GUY AT THE BAR ",Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:09:38.211,"00:09:40,580",AND AT SOME POINT ALONA SAID THAT SHE WAS TIRED ,Laura,-0.4,-0.4404,-0.20000000298023224
1900-01-01 00:09:40.681,"00:09:42,549",AND THAT SHE NEEDED TO GO HOME. ,Laura,0.0,0.0,-0.5
1900-01-01 00:09:42.650,"00:09:45,953",AND THEN THAT GUY... ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:09:46.053,"00:09:50,257","MOVED NEXT TO ME AND, UM, YOU KNOW WHAT HE SAID? ",Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:09:50.357,"00:09:52,626","HE SAID, ",Laura,0.0,0.0,0.0
1900-01-01 00:09:56.463,"00:09:57,965","AND I SAID, ""REALLY?"" ",Laura,0.2,0.0,-0.5
1900-01-01 00:09:58.065,"00:10:02,235","AND HE SAID, ""YEAH, YOU DO. IT LOOKS GOOD ON YOU."" ",Laura,0.7,0.6249,0.6000000238418579
1900-01-01 00:10:06.406,"00:10:08,709","I MEAN, WHATEVER HAPPENED TO ""DO YOU HAVE THE TIME?"" ",Laura,-0.3125,0.0,-0.4000000059604645
1900-01-01 00:10:08.809,"00:10:11,578","OR ""HAVEN'T WE MET BEFORE?"" OR-- ",Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:10:11.679,"00:10:13,947","I MUST BE TOTALLY OUT OF TOUCH, PAUL. ",Laura,0.0,0.0,-0.800000011920929
